Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
10,36.02871157235818
15.84893192461114,36.02871157235169
25.11886431509581,36.0287115723354
39.81071705534973,36.02871157229446
63.09573444801934,36.02871157219164
100,36.02871157193338
158.4893192461114,36.02871157128465
251.1886431509581,36.02871156965513
398.1071705534974,36.02871156556194
630.9573444801935,36.02871155528032
1000,36.02871152945404
1584.893192461114,36.02871146458138
2511.886431509582,36.02871130162861
3981.071705534975,36.02871089230981
6309.573444801937,36.02870986414763
10000.00000000001,36.02870728152205
15848.93192461115,36.0287007942667
25118.86431509582,36.02868449903976
39810.71705534976,36.02864356753412
63095.73444801939,36.02854075393675
100000.0000000001,36.02828250831266
158489.3192461116,36.02763389294962
251188.6431509583,36.02600507081357
398107.1705534978,36.02191634324529
630957.3444801942,36.01166284646292
1000000.000000002,35.98601334686659
1584893.192461116,35.92224411909115
2511886.431509584,35.76606940964881
3981071.705534979,35.39685823129783
6309573.444801943,34.58782205325258
10000000.00000002,33.04301644014052
15848931.92461117,30.60525166160863
25118864.31509585,27.41837632366053
39810717.05534981,23.7668460627909
63095734.44801947,19.85439480230295
100000000.0000002,15.74153062157397
158489319.2461118,11.34126900618751
251188643.1509587,6.392614378660322
398107170.5534983,0.4840122211154774
630957344.480195,-6.681778677566901
1000000000.000003,-14.88928644012165
1584893192.461118,-23.49910643346032
2511886431.509588,-32.03415754505828
3981071705.534985,-40.43678083027352
6309573444.801953,-48.86823779990343
10000000000.00003,-57.35505005478011
15848931924.61119,-64.00404747741877
25118864315.09589,-65.37482698934704
39810717055.34987,-64.94066833032727
63095734448.01955,-64.62896244845203
100000000000,-64.48443794280641
