Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
10,36.03869129263752
14.86076613902463,36.03869129263735
22.0842370238781,36.038691292637
32.81886817706418,36.03869129263621
48.77135249268284,36.03869129263446
72.47796636776955,36.03869129263061
107.7078108423516,36.0386912926221
160.0620588274488,36.03869129260331
237.864482396552,36.03869129256182
353.48484456753,36.03869129247019
525.3055608807534,36.03869129226783
780.6443091778042,36.03869129182093
1160.097251645179,36.03869129076295
1723.993395522421,36.03869128851231
2561.986267608168,36.03869128355615
3807.307877431756,36.03869127264121
5657.951198577958,36.03869124831222
8408.148958808115,36.03869119483048
12495.15353389308,36.03869107677527
18568.75545383923,36.03869081594872
27594.59322922429,36.03869023967795
41007.67966810147,36.03868896725358
60940.55374516912,36.03868615719864
90562.33175896198,36.03867995160461
134582.5633274697,36.03866624702292
200000,36.03863598099657
297215.3227804926,36.03856914219381
441684.740477562,36.03842153720539
656377.3635412835,36.03809558031662
975427.0498536567,36.03737581335317
1449559.327355391,36.03578667451415
2154156.216847031,36.03227918665548
3201241.176548976,36.02454292260088
4757289.647931039,36.00750534786268
7069696.891350599,35.9701080482546
10506111.21761507,35.88861250347001
15612886.18355608,35.71373663423473
23201945.03290357,35.35017630248619
34479867.91044842,34.63852777305014
51239725.35216337,33.37814887195636
76146157.54863514,31.42746721940891
113159023.9715592,28.7968414565444
168162979.1761623,25.58811882816085
249903070.6778617,21.84240770869057
371375109.0767846,17.45706524113049
551891864.5844859,12.23269358337965
820153593.3620294,6.053022934491
1218811074.903382,-0.9156870887888595
1811246635.17924,-8.255001383930038
2691651266.549394,-15.57864441310108
4000000000,-22.72054210683432
