Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
10,36.03869129263752
15.84893192461114,36.03869129263731
25.11886431509581,36.03869129263681
39.81071705534973,36.03869129263553
63.09573444801934,36.03869129263231
100,36.03869129262425
158.4893192461114,36.03869129260399
251.1886431509581,36.03869129255309
398.1071705534974,36.03869129242525
630.9573444801935,36.0386912921041
1000,36.03869129129745
1584.893192461114,36.0386912892002
2511.886431509582,36.03869128389683
3981.071705534975,36.03869127061436
6309.573444801937,36.03869123757622
10000.00000000001,36.03869115441903
15848.93192461115,36.0386909453925
25118.86431509582,36.0386904201988
39810.71705534976,36.03868910117353
63095.73444801939,36.03868578769276
100000.0000000001,36.03867746473552
158489.3192461116,36.03865655850115
251188.6431509583,36.03860404481591
398107.1705534978,36.03847213939287
630957.3444801942,36.03814082522629
1000000.000000002,36.03730870991565
1584893.192461116,36.0352192150194
2511886.431509584,36.02997495346972
3981071.705534979,36.0168290889503
6309573.444801943,35.98397799125663
10000000.00000002,35.90251076016624
15848931.92461117,35.70419828754741
25118864.31509585,35.24169617312869
39810717.05534981,34.25464375795842
63095734.44801947,32.44236759441077
100000000.0000002,29.68476157363103
158489319.2461118,26.10166804293142
251188643.1509587,21.79007181492886
398107170.5534983,16.6067712012435
630957344.480195,10.24973379248561
1000000000.000003,2.640896107148303
1584893192.461118,-5.768204445528852
2511886431.509588,-14.31195177962112
3981071705.534985,-22.63622815317691
6309573444.801953,-30.68871261950821
10000000000.00003,-38.43498133238122
15848931924.61119,-45.67923469449725
25118864315.09589,-51.99105222718856
39810717055.34987,-56.81881222089613
63095734448.01955,-59.89492115211618
100000000000,-61.50376150506153
