Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
10,36.037372719655
15.84893192461114,36.03737271965491
25.11886431509581,36.03737271965468
39.81071705534973,36.0373727196541
63.09573444801934,36.03737271965264
100,36.03737271964896
158.4893192461114,36.03737271963973
251.1886431509581,36.03737271961654
398.1071705534974,36.03737271955828
630.9573444801935,36.03737271941196
1000,36.0373727190444
1584.893192461114,36.03737271805003
2511.886431509582,36.03737271551692
3981.071705534975,36.03737270940709
6309.573444801937,36.03737269377688
10000.00000000001,36.03737265466937
15848.93192461115,36.03737255635892
25118.86431509582,36.03737230969547
39810.71705534976,36.03737168974765
63095.73444801939,36.03737013270381
100000.0000000001,36.03736622106467
158489.3192461116,36.03735639626782
251188.6431509583,36.03733171717329
398107.1705534978,36.03726972684364
630957.3444801942,36.03711401803534
1000000.000000002,36.03672291867559
1584893.192461116,36.035740669917
2511886.431509584,36.03327431040329
3981071.705534979,36.02708500243011
6309573.444801943,36.01157529862198
10000000.00000002,35.97284887573399
15848931.92461117,35.87700486227197
25118864.31509585,35.64480792066859
39810717.05534981,35.1089205697759
63095734.44801947,33.98724314576059
100000000.0000002,31.9816828343941
158489319.2461118,28.99387416668805
251188643.1509587,25.11189937961659
398107170.5534983,20.32874387480582
630957344.480195,14.43381302344551
1000000000.000003,7.273505886062569
1584893192.461118,-0.8700758033672723
2511886431.509588,-9.356946932289281
3981071705.534985,-17.71137083942757
6309573444.801953,-25.79623199114608
10000000000.00003,-33.56092371015834
15848931924.61119,-40.814992445757
25118864315.09589,-47.13356676965564
39810717055.34987,-51.96727639727754
63095734448.01955,-55.04819309421853
100000000000,-56.66013764816027
