Aplus_dB_ac (Design_Point=1) X,Aplus_dB_ac (Design_Point=1) Y
10,-3.425704617765655
15.63073499534038,-3.425704617765851
24.43198764945585,-3.425704617766443
38.18899243580734,-3.425704617767447
59.69220205031629,-3.425704617769762
93.30329915368077,-3.425704617775851
145.8399143262151,-3.425704617790621
227.9585052576213,-3.425704617826493
356.3158985615785,-3.425704617914393
556.9479385042617,-3.425704618128818
870.5505632961247,-3.425704618651247
1360.734515492602,-3.425704619930081
2126.928061067775,-3.425704623053552
3324.544887670353,-3.425704630686416
5196.508011928893,-3.425704649333592
8122.523963562362,-3.425704694892194
12696.10195677451,-3.425704806199827
19844.94051601648,-3.425705078159703
31019.10062041469,-3.425705742642651
48485.13415915004,-3.425707365996771
75785.82832551998,-3.425711332147828
118458.8198958563,-3.425721022194992
185159.8421652885,-3.425744697024212
289418.4424664677,-3.425802538462273
452382.2976957523,-3.425943852650422
707106.7811865485,-3.426289085689326
1105259.871013508,-3.427132408663989
1727602.414479623,-3.429191916813419
2700369.551804118,-3.434218357499606
4220876.085373625,-3.446467146724667
6597539.553864484,-3.476205177604022
10312439.2387732,-3.547761229400749
16119100.48968135,-3.716345224943781
25195338.81174706,-4.095099190340764
39382166.40842324,-4.867539912955534
61557220.66724596,-6.205794599070414
96218460.32994115,-8.113329038089471
150396525.5076981,-10.60287371073873
235080823.443078,-14.51503005414106
367448605.3725152,-19.05853495683377
574349177.4985191,-11.53552793379198
897749978.8271066,-6.655405585136418
1403249201.111894,-4.743911849002779
2193381639.500311,-4.587927542906916
3428416715.067458,-5.259527866411378
5358867312.681482,-6.022001911196091
8376303483.971611,-6.534488860409626
13092777999.85066,-6.800344081055647
20464974326.84884,-6.921386845949065
31988259038.94186,-6.973429220612378
50000000000,-6.99565495238459
