Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
10,36.03869129263752
15.63073499534038,36.03869129263732
24.43198764945585,36.03869129263685
38.18899243580734,36.0386912926357
59.69220205031629,36.03869129263287
93.30329915368077,36.03869129262598
145.8399143262151,36.03869129260914
227.9585052576213,36.038691292568
356.3158985615785,36.0386912924675
556.9479385042617,36.03869129222193
870.5505632961247,36.03869129162197
1360.734515492602,36.03869129008512
2126.928061067775,36.03869128636174
3324.544887670353,36.03869127732715
5196.508011928893,36.03869125516695
8122.523963562362,36.0386912015141
12696.10195677451,36.03869106963585
19844.94051601648,36.03869074804194
31019.10062041469,36.03868996227179
48485.13415915004,36.03868804202689
75785.82832551998,36.03868335040951
118458.8198958563,36.03867188861751
185159.8421652885,36.03864388486471
289418.4424664677,36.03857546690332
452382.2976957523,36.03840831248586
707106.7811865485,36.03799994768016
1105259.871013508,36.03700238838459
1727602.414479623,36.03456609045662
2700369.551804118,36.02861932052512
4220876.085373625,36.01412343170023
6597539.553864484,35.97890391804394
10312439.2387732,35.89400680147059
16119100.48968135,35.69313095531875
25195338.81174706,35.23724616953675
39382166.40842324,34.28629159779231
61557220.66724596,32.56371889522703
96218460.32994115,29.94968951857503
150396525.5076981,26.54624397299143
235080823.443078,22.45803219346315
367448605.3725152,17.58476820053512
574349177.4985191,11.65365452005901
897749978.8271066,4.519612628370707
1403249201.111894,-3.507810360441132
2193381639.500311,-11.81151991359446
3428416715.067458,-19.96481655366643
5358867312.681482,-27.86406760906698
8376303483.971611,-35.49858683640015
13092777999.85066,-42.7571583546104
20464974326.84884,-49.3339495232925
31988259038.94186,-54.73980946696619
50000000000,-58.55412680316561
