Ad_dB_ac (Design_Point=1) X,Ad_dB_ac (Design_Point=1) Y
301,34.71267065
1015,34.69156123
5038,34.20137711
10462,32.68043535
25050,27.57343474
50030,22.73747939
99890,17.81923926
198500,12.586694
300650,9.204712155
